r	D(r)_75C	D(r)_25C
7.12	-0.12685	-0.19515
7.13	-0.1163	-0.19533
7.14	-0.10611	-0.19486
7.15	-0.09639	-0.19369
7.16	-0.08726	-0.1918
7.17	-0.07879	-0.18921
7.18	-0.07106	-0.18595
7.19	-0.0641	-0.18211
7.2	-0.05794	-0.1778
7.21	-0.05256	-0.17313
7.22	-0.04794	-0.16826
7.23	-0.04403	-0.16334
7.24	-0.04074	-0.15852
7.25	-0.038	-0.15397
7.26	-0.0357	-0.14982
7.27	-0.03372	-0.1462
7.28	-0.03195	-0.14321
7.29	-0.03027	-0.14094
7.3	-0.02856	-0.13944
7.31	-0.02671	-0.13872
7.32	-0.02463	-0.13878
7.33	-0.02224	-0.13957
7.34	-0.01948	-0.14102
7.35	-0.01631	-0.14306
7.36	-0.01271	-0.14557
7.37	-0.00869	-0.14843
7.38	-0.00428	-0.15152
7.39	4.59784E-4	-0.15472
7.4	0.00546	-0.15791
7.41	0.01063	-0.16097
7.42	0.01585	-0.16381
7.43	0.021	-0.16637
7.44	0.02597	-0.16858
7.45	0.0306	-0.17042
7.46	0.03479	-0.17189
7.47	0.0384	-0.17299
7.48	0.04132	-0.17377
7.49	0.04346	-0.17427
7.5	0.04472	-0.17457
7.51	0.04506	-0.17474
7.52	0.04443	-0.17485
7.53	0.04282	-0.175
7.54	0.04023	-0.17525
7.55	0.03671	-0.17566
7.56	0.03229	-0.1763
7.57	0.02707	-0.1772
7.58	0.02112	-0.17838
7.59	0.01457	-0.17985
7.6	0.00752	-0.18159
7.61	9.51523E-5	-0.18357
7.62	-0.00756	-0.18575
7.63	-0.01533	-0.18808
7.64	-0.02309	-0.19048
7.65	-0.03071	-0.19288
7.66	-0.0381	-0.19521
7.67	-0.04515	-0.19741
7.68	-0.05179	-0.1994
7.69	-0.05797	-0.20113
7.7	-0.06363	-0.20254
7.71	-0.06875	-0.20361
7.72	-0.07332	-0.20432
7.73	-0.07734	-0.20465
7.74	-0.08085	-0.2046
7.75	-0.08388	-0.2042
7.76	-0.08647	-0.20348
7.77	-0.08867	-0.20246
7.78	-0.09055	-0.20119
7.79	-0.09217	-0.1997
7.8	-0.09358	-0.19805
7.81	-0.09485	-0.19626
7.82	-0.09603	-0.19437
7.83	-0.09717	-0.1924
7.84	-0.09831	-0.19038
7.85	-0.09948	-0.18831
7.86	-0.1007	-0.18618
7.87	-0.10198	-0.18399
7.88	-0.10331	-0.18171
7.89	-0.1047	-0.17934
7.9	-0.10611	-0.17683
7.91	-0.10752	-0.17416
7.92	-0.1089	-0.1713
7.93	-0.11021	-0.16824
7.94	-0.11141	-0.16496
7.95	-0.11246	-0.16146
7.96	-0.1133	-0.15774
7.97	-0.1139	-0.15382
7.98	-0.11423	-0.14973
7.99	-0.11425	-0.14551
8	-0.11394	-0.14121
8.01	-0.11326	-0.1369
8.02	-0.11223	-0.13265
8.03	-0.11082	-0.12852
8.04	-0.10904	-0.1246
8.05	-0.10691	-0.12095
8.06	-0.10444	-0.11762
8.07	-0.10166	-0.11469
8.08	-0.09861	-0.11219
8.09	-0.09533	-0.11014
8.1	-0.09185	-0.10856
8.11	-0.08822	-0.10742
8.12	-0.08449	-0.10672
8.13	-0.0807	-0.10639
8.14	-0.07691	-0.10637
