Wavenumber,Intensity
911.8000,0.045548
912.0330,0.046042
912.2659,0.046504
912.4989,0.046903
912.7319,0.047220
912.9648,0.047450
913.1978,0.047602
913.4307,0.047687
913.6637,0.047710
913.8966,0.047665
914.1296,0.047539
914.3626,0.047325
914.5955,0.047026
914.8285,0.046659
915.0614,0.046250
915.2944,0.045828
915.5274,0.045413
915.7603,0.045013
915.9933,0.044627
916.2262,0.044253
916.4592,0.043892
916.6921,0.043552
916.9251,0.043245
917.1581,0.042976
917.3910,0.042741
917.6240,0.042526
917.8569,0.042310
918.0899,0.042080
918.3229,0.041829
918.5558,0.041565
918.7888,0.041299
919.0217,0.041042
919.2547,0.040793
919.4877,0.040544
919.7206,0.040282
919.9536,0.040002
920.1865,0.039708
920.4195,0.039419
920.6524,0.039155
920.8854,0.038934
921.1184,0.038758
921.3513,0.038616
921.5843,0.038488
921.8172,0.038357
922.0502,0.038218
922.2832,0.038075
922.5161,0.037945
922.7491,0.037838
922.9820,0.037756
923.2150,0.037690
923.4479,0.037623
923.6809,0.037543
923.9139,0.037449
924.1468,0.037349
924.3798,0.037261
924.6127,0.037199
924.8457,0.037164
925.0787,0.037146
925.3116,0.037129
925.5446,0.037096
925.7775,0.037044
926.0105,0.036979
926.2435,0.036916
926.4764,0.036869
926.7094,0.036842
926.9423,0.036826
927.1753,0.036808
927.4082,0.036774
927.6412,0.036721
927.8742,0.036655
928.1071,0.036588
928.3401,0.036529
928.5730,0.036477
928.8060,0.036419
929.0390,0.036340
929.2719,0.036226
929.5049,0.036075
929.7378,0.035900
929.9708,0.035718
930.2037,0.035550
930.4367,0.035402
930.6697,0.035269
930.9026,0.035141
931.1356,0.035002
931.3685,0.034850
931.6015,0.034688
931.8345,0.034529
932.0674,0.034384
932.3004,0.034260
932.5333,0.034153
932.7663,0.034055
932.9993,0.033960
933.2322,0.033869
933.4652,0.033792
933.6981,0.033739
933.9311,0.033719
934.1640,0.033731
934.3970,0.033766
934.6300,0.033809
934.8629,0.033852
935.0959,0.033894
935.3288,0.033943
935.5618,0.034009
935.7948,0.034101
936.0277,0.034216
936.2607,0.034345
936.4936,0.034476
936.7266,0.034602
936.9595,0.034726
937.1925,0.034859
937.4255,0.035017
937.6584,0.035204
937.8914,0.035417
938.1243,0.035641
938.3573,0.035858
938.5903,0.036058
938.8232,0.036243
939.0562,0.036427
939.2891,0.036626
939.5221,0.036849
939.7551,0.037092
939.9880,0.037339
940.2210,0.037569
940.4539,0.037770
940.6869,0.037940
940.9198,0.038093
941.1528,0.038247
941.3858,0.038416
941.6187,0.038600
941.8517,0.038787
942.0846,0.038963
942.3176,0.039116
942.5506,0.039249
942.7835,0.039376
943.0165,0.039516
943.2494,0.039680
943.4824,0.039866
943.7153,0.040060
943.9483,0.040242
944.1813,0.040401
944.4142,0.040538
944.6472,0.040670
944.8801,0.040819
945.1131,0.040999
945.3461,0.041208
945.5790,0.041427
945.8120,0.041630
946.0449,0.041793
946.2779,0.041908
946.5109,0.041985
946.7438,0.042042
946.9768,0.042098
947.2097,0.042160
947.4427,0.042221
947.6756,0.042267
947.9086,0.042283
948.1416,0.042267
948.3745,0.042229
948.6075,0.042190
948.8404,0.042168
949.0734,0.042170
949.3064,0.042193
949.5393,0.042222
949.7723,0.042243
950.0052,0.042248
950.2382,0.042240
950.4711,0.042230
950.7041,0.042226
950.9371,0.042230
951.1700,0.042234
951.4030,0.042228
951.6359,0.042202
951.8689,0.042160
952.1019,0.042115
952.3348,0.042084
952.5678,0.042080
952.8007,0.042108
953.0337,0.042160
953.2667,0.042223
953.4996,0.042288
