************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp
  3   1   4   2.14845   42.0179   9.09843e-03    0.6%   2    26     3.234
  3  -1   4   2.14845   42.0179   9.09843e-03    0.6%   2    26     3.234
  0   2   5   2.14345   42.1205   6.67513e-03    0.5%   2    29     3.216
  0   2  -5   2.14345   42.1205   6.67513e-03    0.5%   2    29     3.216
 -1   3   3   2.13878   42.2171   5.02319e-02    3.4%   2    19     3.200
  1   3  -3   2.13878   42.2171   5.02319e-02    3.4%   2    19     3.200
  5   1  -4   2.13467   42.3022   3.20663e-02    2.2%   2    42     3.185
 -5   1   4   2.13467   42.3022   3.20663e-02    2.2%   2    42     3.185
  0   3   3   2.12263   42.5537   6.46091e-02    4.4%   2    18     3.143
  0   3  -3   2.12263   42.5537   6.46091e-02    4.4%   2    18     3.143
  5   1   1   2.12108   42.5864   4.89533e-02    3.3%   2    27     3.138
  5  -1   1   2.12108   42.5864   4.89533e-02    3.3%   2    27     3.138
  0   1   6   2.11754   42.6610   2.20595e-02    1.5%   2    37     3.125
  0   1  -6   2.11754   42.6610   2.20595e-02    1.5%   2    37     3.125
  3   2   3   2.11565   42.7010   7.48416e-04    0.1%   2    22     3.119
  3  -2   3   2.11565   42.7010   7.48416e-04    0.1%   2    22     3.119
  2   2   4   2.11495   42.7159   1.10914e-02    0.7%   2    24     3.116
  2  -2   4   2.11495   42.7159   1.10914e-02    0.7%   2    24     3.116
 -3   1   6   2.11008   42.8192   3.03497e-02    2.0%   2    46     3.100
  3   1  -6   2.11008   42.8192   3.03497e-02    2.0%   2    46     3.100
  2   1   5   2.10999   42.8212   7.78470e-03    0.5%   2    30     3.099
  2  -1   5   2.10999   42.8212   7.78470e-03    0.5%   2    30     3.099
  4   2  -4   2.10506   42.9265   8.98934e-02    6.1%   2    36     3.082
 -4   2   4   2.10506   42.9265   8.98934e-02    6.1%   2    36     3.082
  4   1   3   2.09709   43.0977   6.19300e-03    0.4%   2    26     3.055
  4  -1   3   2.09709   43.0977   6.19300e-03    0.4%   2    26     3.055
 -2   3   3   2.08662   43.3250   7.02915e-03    0.5%   2    22     3.019
  2   3  -3   2.08662   43.3250   7.02915e-03    0.5%   2    22     3.019
 -3   2   5   2.08617   43.3348   1.90775e-03    0.1%   2    38     3.017
  3   2  -5   2.08617   43.3348   1.90775e-03    0.1%   2    38     3.017
  3   3  -1   2.08114   43.4448   6.89891e-04    0.0%   2    19     3.000
 -3   3   1   2.08114   43.4448   6.89891e-04    0.0%   2    19     3.000
  1   0   6   2.07478   43.5847   4.09968e-02    2.8%   2    37     2.979
  5   0  -5   2.06770   43.7418   2.08910e-04    0.0%   2    50     2.955
  4   0  -6   2.06313   43.8436   9.17179e-03    0.6%   2    52     2.939
  3   3   0   2.05952   43.9243   3.11591e-02    2.1%   4    18     2.927
  2   3   2   2.05642   43.9942   1.67291e-02    1.1%   2    17     2.917
  2  -3   2   2.05642   43.9942   1.67291e-02    1.1%   2    17     2.917
  3   3  -2   2.05261   44.0800   2.00056e-02    1.4%   2    22     2.904
 -3   3   2   2.05261   44.0800   2.00056e-02    1.4%   2    22     2.904
  5   0   2   2.05046   44.1287   1.95723e-02    1.3%   2    29     2.897
  1   3   3   2.04257   44.3082   6.50774e-03    0.4%   2    19     2.870
  1  -3   3   2.04257   44.3082   6.50774e-03    0.4%   2    19     2.870
  6   0  -2   2.04219   44.3168   3.15327e-03    0.2%   2    40     2.869
  4   2   2   2.03288   44.5306   2.11175e-02    1.4%   2    24     2.838
  4  -2   2   2.03288   44.5306   2.11175e-02    1.4%   2    24     2.838
  1   2   5   2.03101   44.5738   5.22182e-03    0.4%   2    30     2.832
  1  -2   5   2.03101   44.5738   5.22182e-03    0.4%   2    30     2.832
  5   2  -2   2.02628   44.6835   2.58053e-02    1.7%   2    33     2.816
 -5   2   2   2.02628   44.6835   2.58053e-02    1.7%   2    33     2.816
  6   0  -1   2.02505   44.7122   4.42912e-02    3.0%   2    37     2.812
  5   2  -1   2.02394   44.7380   2.42886e-03    0.2%   2    30     2.808
 -5   2   1   2.02394   44.7380   2.42886e-03    0.2%   2    30     2.808
  6   0  -3   2.01197   45.0186   4.46698e-03    0.3%   2    45     2.769
  1   1   6   1.99483   45.4269   5.37892e-02    3.6%   2    38     2.713
  1  -1   6   1.99483   45.4269   5.37892e-02    3.6%   2    38     2.713
  3   3   1   1.99219   45.4906   3.45603e-02    2.3%   2    19     2.705
  3  -3   1   1.99219   45.4906   3.45603e-02    2.3%   2    19     2.705
